,Date,Consumption
257,2020-12-14,370.3923932952602
258,2020-12-15,351.6373981760697
259,2020-12-16,367.771402063042
260,2020-12-17,367.771402063042
261,2020-12-18,335.1912485805913
262,2020-12-19,333.2304334886808
263,2020-12-20,366.79501020937266
264,2020-12-21,351.7036946006425
265,2020-12-22,367.771402063042
266,2020-12-23,367.771402063042
267,2020-12-24,351.7036946006425
268,2020-12-25,367.771402063042
269,2020-12-26,403.28206367252494
270,2020-12-27,343.5647973660557
271,2020-12-28,360.5314017031202
272,2020-12-29,376.50642242601174
273,2020-12-30,373.8977891177121
274,2020-12-31,371.2337733088675
275,2021-01-01,375.45397924698955
276,2021-01-02,367.3664808963978
277,2021-01-03,367.3664808963978
278,2021-01-04,329.058277199748
279,2021-01-05,367.3664808963978
280,2021-01-06,344.2162830501961
281,2021-01-07,396.26304312123773
282,2021-01-08,321.3558602907209
283,2021-01-09,344.2162830501961
284,2021-01-10,344.2162830501961
285,2021-01-11,367.3664808963978
286,2021-01-12,344.2162830501961
287,2021-01-13,396.26304312123773
288,2021-01-14,344.2162830501961
289,2021-01-15,344.2162830501961
290,2021-01-16,347.26044608249833
291,2021-01-17,359.81567701118564
292,2021-01-18,359.81567701118564
293,2021-01-19,377.9225649365452
294,2021-01-20,367.5655488617137
295,2021-01-21,376.90717048331925
296,2021-01-22,375.45397924698955
297,2021-01-23,377.3316637521146
298,2021-01-24,377.9225649365452
299,2021-01-25,344.2162830501961
300,2021-01-26,367.3664808963978
301,2021-01-27,339.0418136839915
302,2021-01-28,382.1581013288107
303,2021-01-29,344.2162830501961
304,2021-01-30,319.1010337468067
305,2021-01-31,305.1968011074365
306,2021-02-01,307.00023858905854
307,2021-02-02,316.9574820419998
308,2021-02-03,391.8911905283613
309,2021-02-04,347.7148818534375
310,2021-02-05,347.7148818534375
311,2021-02-06,355.2656857386496
312,2021-02-07,347.2495640061057
313,2021-02-08,316.9574820419998
314,2021-02-09,347.7148818534375
315,2021-02-10,371.2493286835443
316,2021-02-11,371.2493286835443
317,2021-02-12,374.2389049820415
318,2021-02-13,326.122919759139
319,2021-02-14,314.3647993037327
320,2021-02-15,314.3647993037327
321,2021-02-16,332.11548789244796
322,2021-02-17,355.2656857386496
323,2021-02-18,355.2656857386496
324,2021-02-19,355.2656857386496
325,2021-02-20,355.2656857386496
326,2021-02-21,316.9574820419998
327,2021-02-22,332.11548789244796
328,2021-02-23,355.2656857386496
329,2021-02-24,355.2656857386496
330,2021-02-25,384.1270474164355
331,2021-02-26,361.228234171998
332,2021-02-27,355.2656857386496
333,2021-02-28,332.11548789244796
334,2021-03-01,301.53024875985267
335,2021-03-02,290.9143341635755
336,2021-03-03,288.5901241345713
337,2021-03-04,273.43211828412313
338,2021-03-05,301.53024875985267
339,2021-03-06,301.53024875985267
340,2021-03-07,300.86192863815614
341,2021-03-08,282.5975560012623
342,2021-03-09,290.42867730273855
343,2021-03-10,297.7097268529424
344,2021-03-11,299.82622624421873
345,2021-03-12,296.10798488641177
346,2021-03-13,288.5901241345713
347,2021-03-14,298.7913318792855
348,2021-03-15,293.872651528632
349,2021-03-16,303.0406497249282
350,2021-03-17,298.7913318792855
351,2021-03-18,300.8127838652589
352,2021-03-19,298.7913318792855
353,2021-03-20,297.7097268529424
354,2021-03-21,303.724200248229
355,2021-03-22,303.724200248229
356,2021-03-23,288.5901241345713
357,2021-03-24,298.68611870661175
358,2021-03-25,290.42867730273855
359,2021-03-26,290.42867730273855
360,2021-03-27,302.10618932669007
361,2021-03-28,299.82622624421873
362,2021-03-29,284.8929354074003
363,2021-03-30,301.53024875985267
364,2021-03-31,290.42867730273855
